kaggle_team_id,kaggle_team_name,kenpom_team_name,barttorvik_team_name,canonical_name
1277,Lafayette,Lafayette,Lafayette,Lafayette
1280,Lehigh,Lehigh,Lehigh,Lehigh
1285,Lipscomb,Lipscomb,Lipscomb,Lipscomb
1288,Long Beach St,Long Beach St.,Long Beach St.,Long Beach St
1290,Long Island,LIU,LIU,LIU
1291,Longwood,Longwood,Longwood,Longwood
1292,Louisiana Lafayette,Louisiana,Louisiana,Louisiana
1295,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech
1296,Louisville,Louisville,Louisville,Louisville
1299,Loyola Chicago,Loyola Chicago,Loyola Chicago,Loyola Chicago
1301,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount
1305,Manhattan,Manhattan,Manhattan,Manhattan
1309,Marquette,Marquette,Marquette,Marquette
1311,Maryland,Maryland,Maryland,Maryland
1314,McNeese St,McNeese St.,McNeese St.,McNeese St
1316,Memphis,Memphis,Memphis,Memphis
1318,Mercer,Mercer,Mercer,Mercer
1320,Miami FL,Miami FL,Miami FL,Miami FL
1323,Michigan,Michigan,Michigan,Michigan
1324,Michigan St,Michigan St.,Michigan St.,Michigan St
1326,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee
1328,Minnesota,Minnesota,Minnesota,Minnesota
1329,Mississippi,Ole Miss,Ole Miss,Ole Miss
1330,Mississippi St,Mississippi St.,Mississippi St.,Mississippi St
1331,Missouri,Missouri,Missouri,Missouri
1335,Montana,Montana,Montana,Montana
1337,Montana St,Montana St.,Montana St.,Montana St
1338,Morehead St,Morehead St.,Morehead St.,Morehead St
1341,Mount St Mary's,Mount St. Mary's,Mount St. Mary's,Mount St Mary's
1344,Murray St,Murray St.,Murray St.,Murray St
1345,Navy,Navy,Navy,Navy
1346,NC State,N.C. State,NC State,NC State
1348,Nebraska,Nebraska,Nebraska,Nebraska
1350,Nevada,Nevada,Nevada,Nevada
1352,New Mexico,New Mexico,New Mexico,New Mexico
1353,New Mexico St,New Mexico St.,New Mexico St.,New Mexico St
1355,Niagara,Niagara,Niagara,Niagara
1356,Nicholls St,Nicholls St.,Nicholls St.,Nicholls St
1358,Norfolk St,Norfolk St.,Norfolk St.,Norfolk St
1361,North Carolina,North Carolina,North Carolina,North Carolina
1362,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T
1363,North Carolina St,N.C. State,NC State,NC State
1364,North Dakota St,North Dakota St.,North Dakota St.,North Dakota St
1367,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa
1368,Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky
1371,Northwestern,Northwestern,Northwestern,Northwestern
1374,Notre Dame,Notre Dame,Notre Dame,Notre Dame
1376,Oakland,Oakland,Oakland,Oakland
1377,Ohio,Ohio,Ohio,Ohio
1378,Ohio St,Ohio St.,Ohio St.,Ohio St
1382,Oklahoma,Oklahoma,Oklahoma,Oklahoma
1383,Oklahoma St,Oklahoma St.,Oklahoma St.,Oklahoma St
1385,Old Dominion,Old Dominion,Old Dominion,Old Dominion
1386,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts
1388,Oregon,Oregon,Oregon,Oregon
1389,Oregon St,Oregon St.,Oregon St.,Oregon St
1392,Pacific,Pacific,Pacific,Pacific
1393,Penn,Penn,Pennsylvania,Penn
1395,Penn St,Penn St.,Penn St.,Penn St
1396,Pepperdine,Pepperdine,Pepperdine,Pepperdine
1397,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh
1399,Portland St,Portland St.,Portland St.,Portland St
1400,Princeton,Princeton,Princeton,Princeton
1401,Providence,Providence,Providence,Providence
1403,Purdue,Purdue,Purdue,Purdue
1411,Richmond,Richmond,Richmond,Richmond
1412,Rider,Rider,Rider,Rider
1413,Robert Morris,Robert Morris,Robert Morris,Robert Morris
1415,Rutgers,Rutgers,Rutgers,Rutgers
1417,Sacramento St,Sacramento St.,Sacramento St.,Sacramento St
1418,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart
1420,Sam Houston St,Sam Houston St.,Sam Houston St.,Sam Houston St
1421,Samford,Samford,Samford,Samford
1422,San Diego,San Diego,San Diego,San Diego
1423,San Diego St,San Diego St.,San Diego St.,San Diego St
1424,San Francisco,San Francisco,San Francisco,San Francisco
1425,Santa Clara,Santa Clara,Santa Clara,Santa Clara
1427,Seton Hall,Seton Hall,Seton Hall,Seton Hall
1428,Siena,Siena,Siena,Siena
1430,South Alabama,South Alabama,South Alabama,South Alabama
1432,South Carolina,South Carolina,South Carolina,South Carolina
1433,South Dakota St,South Dakota St.,South Dakota St.,South Dakota St
1435,Southeast Missouri St,Southeast Missouri St.,Southeast Missouri St.,Southeast Missouri St
1437,Southern,Southern,Southern University,Southern
1438,Southern California,USC,USC,USC
1439,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois
1443,Southern Miss,Southern Miss,Southern Miss,Southern Miss
1446,St Bonaventure,St. Bonaventure,St. Bonaventure,St Bonaventure
1448,St Joseph's,Saint Joseph's,Saint Joseph's,St Joseph's
1449,St Louis,Saint Louis,Saint Louis,St Louis
1450,St Mary's CA,Saint Mary's,Saint Mary's,Saint Mary's
1452,St Peter's,Saint Peter's,Saint Peter's,Saint Peter's
1453,Stanford,Stanford,Stanford,Stanford
1455,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,Stephen F Austin
1456,Stetson,Stetson,Stetson,Stetson
1458,Syracuse,Syracuse,Syracuse,Syracuse
1460,Temple,Temple,Temple,Temple
1461,Tennessee,Tennessee,Tennessee,Tennessee
1462,Tennessee St,Tennessee St.,Tennessee St.,Tennessee St
1463,Texas,Texas,Texas,Texas
1464,Texas A&M,Texas A&M,Texas A&M,Texas A&M
1466,Texas Southern,Texas Southern,Texas Southern,Texas Southern
1467,Texas Tech,Texas Tech,Texas Tech,Texas Tech
1473,Troy,Troy,Troy,Troy
1474,Tulsa,Tulsa,Tulsa,Tulsa
1477,UAB,UAB,UAB,UAB
1437,UC Davis,UC Davis,UC Davis,UC Davis
1478,UC Irvine,UC Irvine,UC Irvine,UC Irvine
1480,UC Santa Barbara,UC Santa Barbara,UCSB,UC Santa Barbara
1437,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville
1437,UNC Greensboro,UNC Greensboro,UNC Greensboro,UNC Greensboro
1437,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington
1437,UTEP,UTEP,UTEP,UTEP
1437,UT Arlington,UT Arlington,UT Arlington,UT Arlington
1437,UMBC,UMBC,UMBC,UMBC
1490,Utah,Utah,Utah,Utah
1491,Utah St,Utah St.,Utah St.,Utah St
1493,UTSA,UTSA,UTSA,UTSA
1496,Valparaiso,Valparaiso,Valparaiso,Valparaiso
1497,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt
1498,VCU,VCU,VCU,VCU
1499,Vermont,Vermont,Vermont,Vermont
1500,Villanova,Villanova,Villanova,Villanova
1501,Virginia,Virginia,Virginia,Virginia
1502,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech
1503,Wagner,Wagner,Wagner,Wagner
1504,Wake Forest,Wake Forest,Wake Forest,Wake Forest
1506,Washington,Washington,Washington,Washington
1507,Washington St,Washington St.,Washington St.,Washington St
1508,Weber St,Weber St.,Weber St.,Weber St
1509,West Virginia,West Virginia,West Virginia,West Virginia
1511,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky
1513,Western Michigan,Western Michigan,Western Michigan,Western Michigan
1515,Wichita St,Wichita St.,Wichita St.,Wichita St
1517,William & Mary,William & Mary,William & Mary,William & Mary
1519,Winthrop,Winthrop,Winthrop,Winthrop
1520,Wisconsin,Wisconsin,Wisconsin,Wisconsin
1521,Wofford,Wofford,Wofford,Wofford
1523,Wright St,Wright St.,Wright St.,Wright St
1524,Wyoming,Wyoming,Wyoming,Wyoming
1525,Xavier,Xavier,Xavier,Xavier
1526,Yale,Yale,Yale,Yale
